Source,Target,Weight,Type
canonical2,UF00049560,0.9739203453063965,undirected
canonical2,UF00073602,0.9709112644195557,undirected
canonical2,UF00073640,0.9706485271453857,undirected
canonical2,UF00074452,0.970354437828064,undirected
canonical2,UF00073642,0.9692797660827637,undirected
canonical2,UF00074442,0.9685808420181274,undirected
canonical2,UF00073615,0.9684991240501404,undirected
canonical2,UF00026212,0.9683642387390137,undirected
canonical2,UF00074471,0.9682461023330688,undirected
canonical2,UF00026211,0.9677897095680237,undirected
canonical2,UF00073546,0.967258632183075,undirected
canonical2,UF00073612,0.966944694519043,undirected
canonical2,UF00073548,0.9667778611183167,undirected
canonical2,UF00073616,0.9664058685302734,undirected
canonical2,UF00073559,0.9662279486656189,undirected
canonical2,UF00073639,0.9658855199813843,undirected
canonical2,UF00073563,0.9654357433319092,undirected
canonical2,UF00072796,0.9652481079101562,undirected
canonical2,UF00073591,0.9647150039672852,undirected
canonical2,UF00073579,0.9640411138534546,undirected
canonical2,UF00073604,0.9636424779891968,undirected
canonical2,UF00073606,0.9632134437561035,undirected
canonical2,UF00073545,0.9627993702888489,undirected
canonical2,UF00073618,0.9625897407531738,undirected
canonical2,UF00073607,0.9619941711425781,undirected
canonical2,UF00072765,0.9617358446121216,undirected
canonical2,UF00073567,0.9616547226905823,undirected
canonical2,UF00074450,0.9616160988807678,undirected
canonical2,UF00072802,0.9615347385406494,undirected
canonical2,UF00026210,0.9611836075782776,undirected
canonical2,UF00073547,0.9610920548439026,undirected
canonical2,UF00074475,0.9610370397567749,undirected
canonical2,UF00096278,0.9607234597206116,undirected
canonical2,UF00073629,0.9598387479782104,undirected
canonical2,UF00028212,0.9597916603088379,undirected
canonical2,UF00073622,0.9596593379974365,undirected
canonical2,UF00073550,0.9595606327056885,undirected
canonical2,UF00073647,0.9594579339027405,undirected
canonical2,UF00072767,0.9593968391418457,undirected
canonical2,UF00053424,0.9591559171676636,undirected
canonical2,UF00074476,0.9589359164237976,undirected
canonical2,UF00001347,0.9587706327438354,undirected
canonical2,UF00072778,0.95827317237854,undirected
