Source,Target,Weight,Type
AA00021431,AA00021433,0.5883166790008545,directed
AA00021431,AA00021433,0.5883166790008545,directed
UF00074452,canonical2,0.763189435005188,directed
canonical2,UF00073639,0.7352551221847534,directed
UF00074450,canonical2,0.731993556022644,directed
UF00073591,canonical2,0.7288292646408081,directed
UF00074442,canonical2,0.7226114869117737,directed
canonical2,UF00074475,0.7207247018814087,directed
UF00026212,canonical2,0.7178576588630676,directed
UF00073602,canonical2,0.714430570602417,directed
UF00026578,canonical2,0.707696795463562,directed
UF00049560,canonical2,0.7012592554092407,directed
UF00028212,canonical2,0.694963812828064,directed
UF00073546,canonical2,0.6942504048347473,directed
UF00073618,canonical2,0.6931614875793457,directed
UF00096278,canonical2,0.6872748136520386,directed
UF00073559,canonical2,0.6846891045570374,directed
UF00026211,canonical2,0.6829239130020142,directed
UF00073615,canonical2,0.6760357618331909,directed
UF00027048,canonical2,0.6746379137039185,directed
UF00073637,canonical2,0.6720387935638428,directed
UF00072796,canonical2,0.6719956398010254,directed
UF00073633,canonical2,0.6686489582061768,directed
UF00073579,canonical2,0.6675143241882324,directed
UF00073647,canonical2,0.6667941808700562,directed
UF00073551,canonical2,0.6662741899490356,directed
canonical2,UF00073640,0.6645662784576416,directed
UF00073563,canonical2,0.6625840663909912,directed
UF00073606,canonical2,0.6608377695083618,directed
UF00073612,canonical2,0.6601173281669617,directed
UF00074446,canonical2,0.6594623327255249,directed
UF00072802,canonical2,0.6568067073822021,directed
UF00074441,canonical2,0.6550047397613525,directed
UF00073589,canonical2,0.6527982950210571,directed
UF00073645,canonical2,0.6481176018714905,directed
UF00073629,canonical2,0.64643394947052,directed
UF00073646,canonical2,0.6451523900032043,directed
UF00073547,canonical2,0.6442558765411377,directed
UF00072765,canonical2,0.6431254148483276,directed
UF00074443,canonical2,0.6430597305297852,directed
UF00072798,canonical2,0.6414681673049927,directed
UF00073548,canonical2,0.6382834315299988,directed
canonical2,UF00074476,0.6370619535446167,directed
UF00001347,canonical2,0.6357810497283936,directed
canonical2,UF00074478,0.6346194744110107,directed
UF00073571,canonical2,0.6339728236198425,directed
UF00073622,canonical2,0.6337313055992126,directed
UF00073592,canonical2,0.632179319858551,directed
canonical2,UF00073642,0.6319770812988281,directed
UF00072778,canonical2,0.6315294504165649,directed
UF00074462,canonical2,0.6312261819839478,directed
UF00073616,canonical2,0.6262509822845459,directed
UF00072784,canonical2,0.623810887336731,directed
canonical2,UF00074471,0.6225529909133911,directed
UF00073545,canonical2,0.6196367144584656,directed
UF00073608,canonical2,0.618901252746582,directed
UF00073575,canonical2,0.6172692775726318,directed
UF00073636,canonical2,0.6151052713394165,directed
canonical2,UF00074474,0.6137129664421082,directed
UF00072766,canonical2,0.6132572293281555,directed
UF00073583,canonical2,0.6098296046257019,directed
UF00073574,canonical2,0.6091054677963257,directed
UF00073604,canonical2,0.6076755523681641,directed
UF00072751,canonical2,0.6023859977722168,directed
UF00073567,canonical2,0.6018900871276855,directed
UF00073558,canonical2,0.6015563011169434,directed
UF00073590,canonical2,0.6001812219619751,directed
UF00053424,canonical2,0.6001721620559692,directed
UF00073584,canonical2,0.5976276397705078,directed
UF00073599,canonical2,0.5965347290039062,directed
UF00072774,canonical2,0.5933480262756348,directed
UF00074464,canonical2,0.5846755504608154,directed
UF00074457,canonical2,0.5838196873664856,directed
UF00073550,canonical2,0.5832051038742065,directed
UF00073569,canonical2,0.5815593600273132,directed
UF00026210,canonical2,0.5808601379394531,directed
UF00073632,canonical2,0.5765221118927002,directed
UF00072767,canonical2,0.5745536088943481,directed
UF00072791,canonical2,0.5699808597564697,directed
UF00073607,canonical2,0.5647692680358887,directed
UF00072817,canonical2,0.5636670589447021,directed
UF00072753,canonical2,0.5632517337799072,directed
UF00073553,canonical2,0.56132972240448,directed
UF00073641,canonical2,0.5565536618232727,directed
UF00073628,canonical2,0.5563907623291016,directed
UF00073552,canonical2,0.556000292301178,directed
UF00073586,canonical2,0.5510573983192444,directed
UF00001345,canonical2,0.550444483757019,directed
first_ed,UF00073641,0.7550060749053955,directed
first_ed,UF00073561,0.6998699903488159,directed
first_ed,UF00073569,0.5501052141189575,directed
UF00001286,UF00072744,0.5929913520812988,directed
UF00001286,UF00072747,0.5507935285568237,directed
UF00001312,UF00072764,0.7853797674179077,directed
UF00072748,UF00001312,0.7117399573326111,directed
UF00001312,UF00072768,0.6928260326385498,directed
UF00001312,UF00072811,0.6849439144134521,directed
UF00072758,UF00001312,0.6520709991455078,directed
UF00001312,UF00072771,0.638094425201416,directed
UF00001312,UF00073541,0.6153972148895264,directed
UF00001312,UF00072786,0.6078261137008667,directed
UF00001345,UF00072757,0.6104392409324646,directed
UF00001345,UF00026212,0.6034287810325623,directed
UF00001345,UF00072796,0.6028923988342285,directed
UF00001345,UF00072765,0.5914520621299744,directed
UF00001345,UF00074475,0.5863007307052612,directed
UF00001345,UF00072774,0.5854669809341431,directed
UF00001345,UF00072751,0.5804015398025513,directed
UF00001345,UF00073584,0.5766391158103943,directed
UF00001345,UF00073639,0.5758644342422485,directed
UF00001345,UF00074442,0.5722168684005737,directed
UF00001345,UF00026211,0.5712869763374329,directed
UF00001345,UF00073642,0.5700684189796448,directed
UF00001345,UF00001347,0.5699415802955627,directed
UF00001345,UF00096278,0.5681830048561096,directed
UF00001345,UF00073599,0.5642385482788086,directed
UF00001345,UF00049560,0.5641961097717285,directed
UF00001345,UF00074474,0.560259222984314,directed
UF00001345,UF00073546,0.5601419806480408,directed
UF00001345,UF00072749,0.5593863725662231,directed
UF00001345,UF00074446,0.5584908723831177,directed
UF00001345,UF00072802,0.5582669377326965,directed
UF00001345,UF00028212,0.5581098794937134,directed
