,UFDC code,title,publication date,location,oclc,language
252,http://ufdc.ufl.edu/UF00072774,The surprising adventures of Robinson Crusoe ,1838,[' London '],,
253,http://ufdc.ufl.edu/UF00073540,The surprising adventures of Robinson Crusoe ,1865,[' London '],,
254,http://ufdc.ufl.edu/UF00049549,The Swiss family Robinson,1879,[' New York '],,
255,http://ufdc.ufl.edu/UF00081659,The Swiss family Robinson,1889,"[' London, Glasgow, Manchester ']",,
256,http://ufdc.ufl.edu/UF00083210,The Swiss family Robinson,1895,[' New York '],,
257,http://ufdc.ufl.edu/UF00086462,The Swiss family Robinson,1899,"[' London ', ' New York ']",,
258,http://ufdc.ufl.edu/UF00085415,The Swiss family Robinson,1896,[' New York '],,
259,http://ufdc.ufl.edu/UF00024837,The Swiss family Robinson,1870,[' New York '],,
260,http://ufdc.ufl.edu/UF00028228,Swiss family Robinson in words of one syllable,1874,"[' New York ', ' Philadelphia ']",,
261,http://ufdc.ufl.edu/UF00053431,The Swiss family Robinson in words of one syllable,1884,[' New York '],,
262,http://ufdc.ufl.edu/UF00001866,"The Swiss family Robinson, or Adventures in a desert island",1851,[' London '],,
263,http://ufdc.ufl.edu/UF00003604,"The Swiss family Robinson, or, Adventures of a father and mother and four sons in a desert island",1852,[' London '],,
264,http://ufdc.ufl.edu/UF00027951,"The Swiss family Robinson, or, Adventures of a shipwrecked famiily on a desolate island",1872,"[' London, Edinburgh, New York ']",,
265,http://ufdc.ufl.edu/UF00027938,"The Swiss family Robinson, or, Adventures of a shipwrecked family on a desolate island",1874,"[' London, Edinburgh, New York ']",,
266,http://ufdc.ufl.edu/UF00027939,"The Swiss family Robinson, or, The adventures of a father and his four sons on a desert island",1874,[' Edinburgh '],,
267,http://ufdc.ufl.edu/UF00086694,"The Swiss family Robinson, or, The adventures of a shipwrecked family on an uninhabited island near New Guinea",1898,[' Boston '],,
268,http://ufdc.ufl.edu/UF00055797,"The Swiss family Robinson, or, The adventures of a shipwrecked family on an uninhabited island near New Guinea",1888,"[' London, New York ']",,
269,http://ufdc.ufl.edu/UF00073607,The Life and adventures of Robinson Crusoe,1884,[' Boston '],,
270,http://ufdc.ufl.edu/UF00053179,"Travels into several remote nations of the world by Lemuel Gulliver, first a surgeon and then a captain of several ships, in four parts ...",1883,[' London '],,
271,http://ufdc.ufl.edu/UF00053957,"True tales of travel and adventure, valour and virtue",1885,[' London '],,
272,http://ufdc.ufl.edu/UF00053954,"The voyage of the ""Vivian"" to the North Pole and beyond",1884.5,[' New York '],,
273,http://ufdc.ufl.edu/UF00053296,Walks in and around London,1884,[' London '],,
274,http://ufdc.ufl.edu/UF00077393,Willy Pogany children : Robinson Crusoe,1914,[' London '],,
275,http://ufdc.ufl.edu/AA00021431,The wonderful life and adventures of Robinson Crusoe,1809,[' New-Haven '],,
276,http://ufdc.ufl.edu/AA00021430,The wonderful life and surprising adventures of Robinson Crusoe,1802,[' York '],,
277,http://ufdc.ufl.edu/AA00021432,Die wunderbare Lebensbeschreibung und Erstaunliche Begebenheiten des berÃ¼hmten Helden Robinson Crusoe,1809,[' Philadelphia '],,
278,http://ufdc.ufl.edu/UF00074449,The Young folks' Robinson Crusoe,1898,[' Boston '],,
