,UFDC code,title,publication date,location,oclc,language
61,http://ufdc.ufl.edu/UF00073614,The Life and adventures of Robinson Crusoe,1889,[' New York '],,
62,http://ufdc.ufl.edu/UF00026210,The life and adventures of Robinson Crusoe,1885,"[' London ;, and New York ']",,
63,http://ufdc.ufl.edu/UF00026211,The life and adventures of Robinson Crusoe,1881,[' London '],,
64,http://ufdc.ufl.edu/UF00026578,The life and adventures of Robinson Crusoe,1875,[' London '],,
65,http://ufdc.ufl.edu/UF00072781,The life and adventures of Robinson Crusoe,1842,[' London '],,
66,http://ufdc.ufl.edu/UF00072773,The life and adventures of Robinson Crusoe,1837,[' Halifax '],,
67,http://ufdc.ufl.edu/UF00072777,The life and adventures of Robinson Crusoe,1843.5,[' London '],,
68,http://ufdc.ufl.edu/UF00072776,The life and adventures of Robinson Crusoe,1845,[' London '],,
69,http://ufdc.ufl.edu/UF00072775,The Life and adventures of Robinson Crusoe ,1839,[' London '],,
70,http://ufdc.ufl.edu/UF00072780,The life and adventures of Robinson Crusoe ,1845.5,[' New York '],,
71,http://ufdc.ufl.edu/UF00072770,The Life and adventures of Robinson Crusoe,1838.333333,[' New York '],,
72,http://ufdc.ufl.edu/UF00072808,The life and adventures of Robinson Crusoe,1854,[' New York '],,
73,http://ufdc.ufl.edu/UF00026212,The life and adventures of Robinson Crusoe ,1881,[' London '],,
74,http://ufdc.ufl.edu/UF00072790,The life and adventures of Robinson Crusoe,1846,[' London '],,
75,http://ufdc.ufl.edu/UF00072794,The life and adventures of Robinson Crusoe,1842,[' New York '],,
76,http://ufdc.ufl.edu/UF00072782,The Life and adventures of Robinson Crusoe,1843,[' Philadelphia '],,
77,http://ufdc.ufl.edu/UF00072778,The life and adventures of Robinson Crusoe,1840,[' London '],,
78,http://ufdc.ufl.edu/UF00072785,The life and adventures of Robinson Crusoe,1845,[' Philadelphia '],,
79,http://ufdc.ufl.edu/UF00072804,The life and adventures of Robinson Crusoe,1853,[' Philadelphia '],,
80,http://ufdc.ufl.edu/UF00072815,The life and adventures of Robinson Crusoe ,1859,[' Philadelphia '],,
81,http://ufdc.ufl.edu/UF00072786,The life and adventures of Robinson Crusoe ,1845,[' Portland Me '],,
82,http://ufdc.ufl.edu/UF00072793,Life and adventures of Robinson Crusoe,1849,[' New Haven '],,
83,http://ufdc.ufl.edu/UF00072812,The life and adventures of Robinson Crusoe,1856,[' New York '],,
84,http://ufdc.ufl.edu/UF00072788,The life and adventures of Robinson Crusoe ,1843.5,[' Philadelphia '],,
85,http://ufdc.ufl.edu/UF00072797,The life and adventures of Robinson Crusoe,1855,[' New York '],,
86,http://ufdc.ufl.edu/UF00073558,The Life and adventures of Robinson Crusoe,1866,[' New York '],,
87,http://ufdc.ufl.edu/UF00073570,The life and adventures of Robinson Crusoe ,1869,"[' New York ', ' London ']",,
88,http://ufdc.ufl.edu/UF00073543,The Life and adventures of Robinson Crusoe,1860,"[' London, Edinburgh ']",,
89,http://ufdc.ufl.edu/UF00073553,The life and adventures of Robinson Crusoe ,1864,"[' London ', 'New York']",,
90,http://ufdc.ufl.edu/UF00073541,The life and adventures of Robinson Crusoe ,1865,[' Cincinnati '],,
91,http://ufdc.ufl.edu/UF00072796,The life and adventures of Robinson Crusoe ,1855,"[' Edinburgh ', ' London ', ' Glasgow ']",,
92,http://ufdc.ufl.edu/UF00073644,The life and adventures of Robinson Crusoe ,1865,[' Philadelphia '],,
93,http://ufdc.ufl.edu/UF00073571,Life and adventures of Robinson Crusoe,1869,"[' London, New York ']",,
94,http://ufdc.ufl.edu/UF00073585,The Life and adventures of Robinson Crusoe,1873,[' Philadelphia '],,
95,http://ufdc.ufl.edu/UF00073545,The Life and adventures of Robinson Crusoe,1861,[' Boston '],,
96,http://ufdc.ufl.edu/UF00073544,The Life and adventures of Robinson Crusoe,1860,[' London '],,
97,http://ufdc.ufl.edu/UF00072807,The life and adventures of Robinson Crusoe ,1856.5,[' Philadelphia '],,
98,http://ufdc.ufl.edu/UF00072810,The life and adventures of Robinson Crusoe ,1856,[' London '],,
99,http://ufdc.ufl.edu/UF00072802,The life and adventures of Robinson Crusoe ,1850,[' London '],,
100,http://ufdc.ufl.edu/UF00072779,The life and adventures of Robinson Crusoe,1841,[' New York '],,
101,http://ufdc.ufl.edu/UF00072809,The life and adventures of Robinson Crusoe ,1855,"[' London ', 'New York']",,
102,http://ufdc.ufl.edu/UF00073559,Life and adventures of Robinson Crusoe,1866,"[' Boston ', ' New York ']",,
103,http://ufdc.ufl.edu/UF00073562,The Life and adventures of Robinson Crusoe,1867,[' London '],,
104,http://ufdc.ufl.edu/UF00073566,The Life and adventures of Robinson Crusoe,1868,[' London '],,
105,http://ufdc.ufl.edu/UF00073579,Life and adventures of Robinson Crusoe,1870,[' Philadelphia '],,
106,http://ufdc.ufl.edu/UF00073564,The Life and adventures of Robinson Crusoe,1867,[' London '],,
107,http://ufdc.ufl.edu/UF00073548,The Life and adventures of Robinson Crusoe,1863,"[' Boston ', ' Concord NH']",,
108,http://ufdc.ufl.edu/UF00073551,The life and adventures of Robinson Crusoe ,1864,"[' London ', 'New York ']",,
109,http://ufdc.ufl.edu/UF00073555,Life and adventures of Robinson Crusoe ,1864,[' London '],,
110,http://ufdc.ufl.edu/UF00001345,The life and adventures of Robinson Crusoe,1808,[' London '],,
111,http://ufdc.ufl.edu/UF00072745,The Life and adventures of Robinson Crusoe ,1805,[' London '],,
112,http://ufdc.ufl.edu/UF00072759,The life and adventures of Robinson Crusoe,1829,[' London '],,
113,http://ufdc.ufl.edu/UF00073535,The Life and adventures of Robinson Crusoe,1859,[' New York '],,
114,http://ufdc.ufl.edu/UF00072795,The Life and adventures of Robinson Crusoe,1849,[' Philadelphia '],,
115,http://ufdc.ufl.edu/UF00073613,Life and adventures of Robinson Crusoe ,1886,[' Boston '],,
116,http://ufdc.ufl.edu/UF00073556,The life and adventures of Robinson Crusoe ,1865,[' London '],,
117,http://ufdc.ufl.edu/UF00072749,The life and adventures of Robinson Crusoe ,1818,[' London '],,
118,http://ufdc.ufl.edu/UF00072803,The life and adventures of Robinson Crusoe,1852,[' Philadelphia '],,
119,http://ufdc.ufl.edu/UF00072763,The life and adventures of Robinson Crusoe ,1831,[' London '],,
120,http://ufdc.ufl.edu/UF00072750,The life and adventures of Robinson Crusoe ,1818,[' London '],,
121,http://ufdc.ufl.edu/UF00049560,The life and adventures of Robinson Crusoe /,1882,[' London '],,
122,http://ufdc.ufl.edu/UF00073645,The Life and adventures of Robinson Crusoe [state 2],1893,"[' London, New York, Manchester ']",,
123,http://ufdc.ufl.edu/UF00073646,The Life and adventures of Robinson Crusoe [state 3],1893,"[' London, New York, Manchester ']",,
124,http://ufdc.ufl.edu/UF00073647,The Life and adventures of Robinson Crusoe [state 4],1893,"[' London, New York, Manchester ']",,
125,http://ufdc.ufl.edu/UF00073611,"The life and adventures of Robinson Crusoe of York, mariner ",1888,[' London '],,
126,http://ufdc.ufl.edu/UF00073625,"The life and adventures of Robinson Crusoe, of York, mariner",1891.5,"[' London ', 'New York', 'Melbourne']",,
127,http://ufdc.ufl.edu/UF00073598,"The Life and adventures of Robinson Crusoe of York, mariner",1885,[' Boston '],,
128,http://ufdc.ufl.edu/UF00073590,"Life and adventures of Robinson Crusoe of York, mariner",1876,[' London '],,
129,http://ufdc.ufl.edu/UF00073596,"The Life and adventures of Robinson Crusoe, of York, Mariner",1885,"[' London, New York, Melbourne ']",,
130,http://ufdc.ufl.edu/UF00072784,"The life and adventures of Robinson Crusoe of York, mariner",1845,"[' London ', ' London ']",,
131,http://ufdc.ufl.edu/UF00073628,"The Life and adventures of Robinson Crusoe of York, mariner",1890,[' London '],,
132,http://ufdc.ufl.edu/UF00073560,"Life and adventures of Robinson Crusoe, of York, mariner : with an account of his travels round three parts of the globe.",1866,"[' Boston ', ' New York ']",,
133,http://ufdc.ufl.edu/UF00073549,The life and adventures of Robinson Crusoe on the island of Juan Fernandez ,1863,[' London '],,
134,http://ufdc.ufl.edu/UF00072771,"The life and adventures of Robinson Crusoe, with a life of the author  ",1836,[' Bristol R.I '],,
135,http://ufdc.ufl.edu/UF00073557,"The life and adventures of Robinson Crusoe, of York, mariner ",1868,[' New York '],,
136,http://ufdc.ufl.edu/UF00072791,"The life and adventures of Robinson Crusoe, of York, mariner ",1847,[' London '],,
137,http://ufdc.ufl.edu/UF00023580,"The Life and adventures of Robinson Crusoe, of York, mariner",1880,"[' London ', ' Edinburgh ']",,
138,http://ufdc.ufl.edu/UF00072764,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",1831,[' New York '],,
139,http://ufdc.ufl.edu/UF00072747,"The life and most surprising adventures of Robinson Crusoe, of York, mariner ",1811,"[' London ', ' York ']",,
140,http://ufdc.ufl.edu/UF00072748,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",1818,[' Dublin '],,
141,http://ufdc.ufl.edu/UF00072754,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",1823,[' London '],,
142,http://ufdc.ufl.edu/UF00072758,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",1826,[' Dublin '],,
143,http://ufdc.ufl.edu/UF00072744,"The life and most surprising adventures of Robinson Crusoe of York, mariner",1803,[' Edinburgh '],,
144,http://ufdc.ufl.edu/UF00001312,"The life and most surprising adventures of Robinson Crusoe, or York, mariner",1831,[' New York '],,
145,http://ufdc.ufl.edu/UF00001286,"The life and most surprising adventures of Robinson Crusoe, of York, mariner ",1801,[' Dunbar '],,
146,http://ufdc.ufl.edu/UF00073622,The life and strange adventures of Robinson Crusoe,1890,"[' Chicago, Philadelphia ']",,
147,http://ufdc.ufl.edu/UF00074457,The life and strange adventures of Robinson Crusoe,1904,[' Chicago '],,
148,http://ufdc.ufl.edu/UF00074443,"The life and strange adventures of Robinson Crusoe, as related by himself",1897,[' Chicago '],,
149,http://ufdc.ufl.edu/UF00074446,Life and strange surprising adventures of Robinson Crusoe,1897,['New York'],,
150,http://ufdc.ufl.edu/UF00074464,The Life and strange surprising adventures of Robinson Crusoe,1913,"[' Chicago, Atlanta, New York ']",,
151,http://ufdc.ufl.edu/UF00073605,The life and strange surprising adventures of Robinson Crusoe ,1882,"[' London, Edinburgh, New York ']",,
152,http://ufdc.ufl.edu/UF00074474,The life and strange surprising adventures of Robinson Crusoe,1937,[' Boston '],,
153,http://ufdc.ufl.edu/UF00073600,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",1882.5,[' New York '],,
154,http://ufdc.ufl.edu/UF00073594,"The life and strange surprising adventures of Robinson Crusoe of York, mariner",1885,"[' London, Paris, New York ']",,
155,http://ufdc.ufl.edu/UF00073586,"The Life and strange surprising adventures of Robinson Crusoe of York, Mariner",1874,"[' New Haven, Conn. ']",,
156,http://ufdc.ufl.edu/UF00073567,"The Life and strange surprising adventures of Robinson Crusoe, of York, mariner",1868,"[' Cambridge ', ' New York ']",,
157,http://ufdc.ufl.edu/UF00073633,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",1894,"[' London, Edinburgh ']",,
158,http://ufdc.ufl.edu/UF00096278,"The life and strange surprising adventures of Robinson Crusoe, of York, Mariner",1896,"[' London, London, Paris ']",,
159,http://ufdc.ufl.edu/UF00074454,"The Life and strange surprising adventures of Robinson Crusoe, of York, mariner,",1900,[' New York '],,
160,http://ufdc.ufl.edu/UF00073637,"The life and strange surprising adventures of Robinson Crusoe of York, mariner",1897,"['New York', 'London]",,
161,http://ufdc.ufl.edu/UF00073584,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",1872,"[' Philadelphia, Boston ', ' Cincinnati, Chicago ', ' San Francisco ', ' New Orleans ']",,
162,http://ufdc.ufl.edu/UF00073569,"The Life and strange surprising adventures of Robinson Crusoe, of York, Mariner",1869,[' London  '],,
163,http://ufdc.ufl.edu/UF00074441,"The Life and strange surprising adventures of Robinson Crusoe, of York, Mariner, as related by himself",1896,"['London, Paris, Melbourne']",,
164,http://ufdc.ufl.edu/UF00074462,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner, as related by himself",1915,[' Boston '],,
165,http://ufdc.ufl.edu/UF00073581,"The life and strange surprising adventures of Robinson Crusoe, of York, mariner ",1874.5,"[' London, Paris, New York ']",,
166,http://ufdc.ufl.edu/UF00073640,"The Life and strange surprizing adventures of Robinson Crusoe of York, mariner",1945,[' Mount Vernon NY '],,
167,http://ufdc.ufl.edu/UF00073589,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",1876,"[' London, Edinburgh, New York ']",,
168,http://ufdc.ufl.edu/UF00073595,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",1885,[' London '],,
169,http://ufdc.ufl.edu/UF00028212,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",1875,"[' London ', ' Edinburgh ', ' New York ']",,
170,http://ufdc.ufl.edu/UF00024127,"The life and strange surprizing adventures of Robinson Crusoe, of York, mariner",1719,[' London '],,
171,http://ufdc.ufl.edu/UF00073554,The life and surprising adventures of Robinson Crusoe ,1864,[' New York '],,
172,http://ufdc.ufl.edu/UF00073546,The Life and surprising adventures of Robinson Crusoe,1861,[' Edinburgh '],,
173,http://ufdc.ufl.edu/UF00073539,The life and surprising adventures of Robinson Crusoe ,1865,"[' Wakefield ', ' London ']",,
174,http://ufdc.ufl.edu/UF00073538,The life and surprising adventures of Robinson Crusoe ,1865,[' London '],,
175,http://ufdc.ufl.edu/UF00073552,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",1864,[' Cincinnati '],,
176,http://ufdc.ufl.edu/UF00073583,"The Life and surprising adventures of Robinson Crusoe of York, mariner",1871,[' New York '],,
177,http://ufdc.ufl.edu/UF00072817,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",1859,[' London '],,
178,http://ufdc.ufl.edu/UF00072798,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",1855,[' London '],,
179,http://ufdc.ufl.edu/UF00072811,"The life and surprising adventures of Robinson Crusoe, of York, mariner",1856,[' Newburyport '],,
180,http://ufdc.ufl.edu/UF00072768,"The life and surprising adventures of Robinson Crusoe, of York, mariner",1833,"[' Boston ', ' Newburyport ']",,
181,http://ufdc.ufl.edu/UF00073638,"The Life and surprising adventures of Robinson Crusoe of York, mariner ",1895,[' New York '],,
182,http://ufdc.ufl.edu/UF00073626,"The life and surprising adventures of Robinson Crusoe of York, mariner",1890,[' Rutland '],,
183,http://ufdc.ufl.edu/UF00073608,"The Life and surprising adventures of Robinson Crusoe of York, mariner",1885,[' London '],,
184,http://ufdc.ufl.edu/UF00074460,"The Life and surprising adventures of Robinson Crusoe, of York, mariner",NA,[' New York '],,
185,http://ufdc.ufl.edu/UF00074442,"The Life and surprising adventures of Robinson Crusoe of York, mariner. /",1896,[' London '],,
186,http://ufdc.ufl.edu/UF00072766,"The life and surprising adventures of Robinson Crusoe, of York, mariner",1831,[' London '],,
187,http://ufdc.ufl.edu/UF00072800,The Life and wonderful adventures of Robinson Crusoe ,1855,[' Glasgow '],,
188,http://ufdc.ufl.edu/UF00073537,The life of Robinson Crusoe in short words ,1859,[' London '],,
189,http://ufdc.ufl.edu/UF00073536,The Life of Robinson Crusoe in short words,1859,[' London '],,
190,http://ufdc.ufl.edu/UF00026282,"Life on desolate islands, or, Real Robinson Crusoes",1870,[' London '],,
191,http://ufdc.ufl.edu/UF00072783,The little Robinson Crusoe,1843,"[' Philadelphia ', ' New Haven ']",,
192,http://ufdc.ufl.edu/UF00072813,The Little Robinson Crusoe,1857,[' Philadelphia '],,
193,http://ufdc.ufl.edu/UF00072787,The Little Robinson Crusoe,1845,[' Philadelphia '],,
194,http://ufdc.ufl.edu/UF00072792,The Little Robinson Crusoe,1848,[' Albany '],,
195,http://ufdc.ufl.edu/UF00072799,The Little Robinson Crusoe,1855,[' Boston '],,
196,http://ufdc.ufl.edu/AA00021429,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner",1795,[' Worcester MA'],,
197,http://ufdc.ufl.edu/AA00021491,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner",1789,[' Portland ME'],,
