htrc-id,pubcity,pubyear,title,oclc,language
None,[Farmington Hills ,2005,"A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe : at the Theatre-Royal, Drury-Lane. (Taken from the original story.).",690206716,None
None,[Farmington Hills ,2005,"The wonderful life, and surprizing adventures of that renowned hero, Robinson Crusoe, who lived twenty-eight years on an uninhabited island, which he afterwards colonised",690213867,None
None,[Farmington Hills ,2005,"The wonderful life, and surprizing adventures of that renowned hero, Robinson Crusoe, who lived twenty-eight years on an uninhabited island, which he afterwards colonised",690213867,None
None,[Farmington Hills ,2005,The life and adventures of Robinson Crusoe. By Daniel De Foe,690359606,None
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridg'd.",690359648,None
None,[Farmington Hills ,2005,"Voyages and travels: being the life and adventures of Robinson Crusoe, of York, mariner. Who lived eight and twenty years all alone in an unihabited [sic] island on the coast of America ... Written by himselfe",690359663,None
None,[Farmington Hills ,2005,The life and most surprising adventures of Robinson Crusoe,690448760,None
None,[Farmington Hills ,2005,"The life, and strange surprizing adventures of Robinson Crusoe : of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of America, near the mouth of the great river of Oroonoque; ... Written by himself.",690359475,None
None,[Farmington Hills ,2005,"The exploits of Robinson Crusoe, mariner, of York. Exhibiting a concise and clear narrative of his living twenty-ight [sic] years in an uninhabited island on the coast of America: ... Written originally by himself",690359893,None
None,[Farmington Hills ,2005,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner : Containing a full and particular account how his ship was lost in a storm, and all his companions were drowned, and he only was cast upon the shore by the wreck; and how he lived eight and twenty years in an uninhabited island, on the coast of America, &c.; With a true relation how he was at last miraculously preserved by pirates, &c.; &c.; &c.;",690470212,None
None,[Farmington Hills ,2005,"The wonderful life and most surprizing adventures of Robinson Crusoe, of York, mariner: containing a full and particular account of the loss of his ship in a storm ... Faithfully abridged from the three volumes, and adorned with an entire new set of cuts",690359878,None
None,[Farmington Hills ,2005,"The wonderful life, and most surprizing adventures, of Robinson Crusoe, of York, mariner. Containing a full and particular account how he lived eight and twenty years in an uninhabited island, on the coast of America; ... Faithfully epitomized from the three volumes, and adorn'd with cuts",690466929,None
None,[Farmington Hills ,2005,"The wonderful life and most surprizing adventures of Robinson Crusoe, of York, mariner. Containing a full and particular account how he lived eight and twenty years in an uninhabited island, on the coast of America; ... Faithfully epitomized from the three volumes",690359684,None
None,[Farmington Hills ,2005,"The life and most surprising adventures of Robinson Crusoe : of York, mariner. Containing a full and particular account ... Faithfully epitomized from the three volumes.",690230980,None
None,[Farmington Hills ,2005,"The farther adventures of Robinson Crusoe : being the second and last part of his life, and of the strange surprising account of his travels round three parts of the globe. Written by himself.",690222367,None
None,[Farmington Hills ,2005,"The life and surprising adventures of Robinson Crusoe : including an account of his shipwreck, and residence for twenty eight years on an unknown island, &c.; &c.; Written by himself.",690359584,None
None,[Farmington Hills ,2005,"The life and strange surprising adventures of Robinson Crusoe : of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque; ... Written by himself.",690359549,None
None,[Farmington Hills ,2005,"The life, and strange surprizing adventures of Robinson Crusoe : of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of America, near the mouth of the great river Oroonoque; ... Written by himself.",690359519,None
None,[Farmington Hills ,2005,The life and adventures of Robinson Crusoe. In two volumes. By Daniel Defoe,690359568,None
None,[Farmington Hills ,2005,The life and adventures of Robinson Crusoe. In two volumes. By Daniel Defoe,690359568,None
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived twenty-eight years in an uninhabited island on the continent of America, lying near the mouth of the great river Oronooko [sic].",690359727,None
None,[Farmington Hills ,2005,"The life and most surprising adventures of Robinson Crusoe : of York, mariner; who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridged.",690359721,None
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridg'd and set forth with cuts proper to the subject.",690237038,None
None,[Farmington Hills ,2005,Serious reflections during the life and surprising adventures of Robinson Crusoe : with his vision of the angelick world. Written by himself.,690359508,None
None,[Farmington Hills ,2005,"The history of the most remarkable life, and extraordinary adventures, of the truly honourable Colonel Jaque : vulgarly call'd, Colonel Jack; who was born a gentleman, put apprentice to a pick-pocket, flourish'd six and twenty years as a thief, was then kidnapp'd to Virginia: ... Written by the author of Robinson Crusoe.",690356297,None
None,[Farmington Hills ,2005,"The history of the most remarkable life, and extraordinary adventures, of the truly honourable Colonel Jaque : vulgarly call'd, Colonel Jack; who was born a gentleman, put apprentice to a pick-pocket, flourish'd six and twenty years as a thief, was then kidnapp'd to Virginia: ... Written by the author of Robinson Crusoe.",690356297,None
None,[Farmington Hills ,2005,"The life and adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque. ... Written by himself.",690361260,None
