htrc-id,pubcity,pubyear,title,oclc,language
None,[Castro Urdiales] ,2016,Robinson Crusoe,982657762,None
None,[Champaign ,2007,Robinson Crusoe,229892140,None
None,[Charleston ,2009,The life and adventures of Robinson Crusoe,522319349,None
None,[Charleston ,2010,The further adventures of Robinson Crusoe. vol. IV,893566714,None
None,[Charleston ,2009,The life and strange adventures of Robinson Crusoe. [Vol. 1],703889081,None
None,[Chatham] ,2000,Robinson Crusoe,55751799,None
None,[Chevron] ,1974,Robinson Crusoe,778119680,None
None,[Chile] ,2001,Robinson Crusoe,55388715,None
None,[Claremont ,2018,Robinson Crusoe,1037894633,None
None,[Colombia] ,2008,Robinson Crusoe,1039111264,None
None,[Constantinople] ,1879,[Robinson Crusoe,702339246,None
None,[Conty] ,1974,Robinson Crusoe,433851218,None
None,[Copenhagen] ,1928,"Robinson Crusoes Liv og Eventyr. Oversat af Harriet Oppenhejm, etc.",559888937,None
None,[Darlington] ,1790,"The life, and most strange adventures, of Robinson Crusoe, of the city of York mariner. Giving an account how he was cast on shore by ship wreck ... on an uninhabited island, on the coast of America near the mouth of the great river, Oroonoque ...",316410599,None
None,[East Olympia ,2005,Robinson Crusoe : the complete story,712041905,None
None,[East Olympia ,2005,Robinson Crusoe : the further adventures,712037755,None
None,[Évreux] ,22] ,obinson Crusoé : [Life and adventures of Robinson Crusoe] ... Illustrations ... par Jean Gourmelin.,463199406,None
None,[Évry] (,7 Pl, Copernic 7 Pl Robinson Crusoé,467830907,None
None,[England?] ,2013,The complete life of Robinson Crusoe,863624282,None
None,[England?] ,2013,The complete life of Robinson Crusoe,863624282,None
None,[England?] ,1900,[Robinson Crusoe toy theatre set].,700043319,None
None,[England?] ,1900,[Robinson Crusoe toy theatre set].,700043319,None
None,[England?] ,1875,The story of Roboinson Crusoe.,317615646,None
None,[England] ,1898,Robinson Crusoe (abridged) in stenotypy.,300581568,None
None,[Erridge] ,1995,Robinson Crusoe,150215933,None
None,[Erscheinungsort ,2014,Robinson Crusoe,881364667,None
None,[Erscheinungsort ,20,obinson Crusoe,246050788,None
None,[Erscheinungsort ,1950,Robinson Crusoe,931228875,None
None,[Erscheinungsort ,1977,Robinson Crusoe,932265372,None
None,[Erscheinungsort ,20,obinson Crusoë,246038828,None
None,[Erscheinungsort ,2016,Robinson Crusoe (Illustrierte Ausgabe) Abenteuer-Klassiker,1020319236,None
None,[Erscheinungsort nicht ermittelbar] ,189-,Robinson Crusoe,249375006,None
None,[Erscheinungsort nicht ermittelbar] ,2011,Robinson Crusoe,857275081,None
None,[Erscheinungsort nicht ermittelbar] ,2012,Robinson Crusoe (Illustrierte Ausgabe) : Neu bearbeitete Übersetzung,857648990,None
None,[Erscheinungsort nicht ermittelbar] ,2014,Robinson Crusoe : Neu bearbeitete Übersetzung,893528853,None
None,[Erscheinungsort nicht ermittelbar] ,2014,Robinson Crusoe : Neu bearbeitete Übersetzung,893528853,None
None,[Estella] ,1971,Robinson Crusoe,433851088,None
None,[Eugene OR] University of Oregon ,1999,Robinson Crusoe,229016467,None
None,[Fairfax ,2009,Robinson Crusoe,655842550,None
None,[Farmington Hills ,2005,"The life and most surprising adventures of Robinson Crusoe : of York, mariner, who lived twenty-eight years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoko.",690359761,None
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridg'd.",690359641,None
None,[Farmington Hills ,2005,"The farther adventures of Robinson Crusoe : being the second and last part of his life, and strange surprizing accounts of his travels round three parts of the globe. Written by himself. The second edition. To which is added a map.",690236017,None
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner; who lived eight-and-twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. ... Complete in one volume.",690359779,None
None,[Farmington Hills ,2005,"The whole life and strange surprising adventures of Robinson Crusoe : of York, mariner: who lived eight and twenty years all alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque; ... Written by himself.",690359525,None
