libcode,pubcity,pubyear,title,oclc,language
http://ufdc.ufl.edu/UF00074478,New York,1948,"Robinson Crusoe, and A journal of the plague year",355083,English
http://ufdc.ufl.edu/UF00073568,England?,1877,Robinson Crusoe. Fairy tales. Tom Brown's school days,28307153,English
http://ufdc.ufl.edu/UF00054403,London++New York,1887,"Robinson Crusoe, his life and adventures",27081396,English
http://ufdc.ufl.edu/UF00073609,London++New York,1886,"Robinson Crusoe, his life and adventures",27081931,English
http://ufdc.ufl.edu/UF00074459,Philadelphia (610 South Washington Square),1882,Robinson Crusoe in words of one syllable,26812745,English
http://ufdc.ufl.edu/UF00028328,New York (416 Broome Street),1876,Robinson Crusoe in words of one syllable,30304714,English
http://ufdc.ufl.edu/UF00049816,New York,1882,Robinson Crusoe in words of one syllable,30760494,English
http://ufdc.ufl.edu/UF00049557,New York,1882,Robinson Crusoe in words of one syllable,30304595,English
http://ufdc.ufl.edu/UF00073631,London++Edinburgh++New York,1892,"Robinson Crusoe, the clever cats, &c.;",26812751,English
http://ufdc.ufl.edu/UF00072769,Derby++London (53 Paternoster Row),1836,The Singular adventures of Robinson Crusoe ,27698232,English
http://ufdc.ufl.edu/UF00001811,Boston,1851,"The solitary of Juan Fernandez, or, The real Robinson Crusoe",604304,English
http://ufdc.ufl.edu/UF00082141,Boston,1899.5,The strange and surprising adventures of Robinson Crusoe of York mariner,30345746,English
http://ufdc.ufl.edu/UF00073635,Boston,1899.5,The Strange and surprising adventures of Robinson Crusoe of York mariner,26966931,English
http://ufdc.ufl.edu/UF00072767,London (Piccadilly opposite Burlington House),1832,The surprising adventures of Robinson Crusoe ,12646068,English
http://ufdc.ufl.edu/UF00072774,London (Charterhouse Square),1838,The surprising adventures of Robinson Crusoe ,27783768,English
http://ufdc.ufl.edu/UF00073540,London (265 High Holborn),1865,The surprising adventures of Robinson Crusoe ,28121082,English
http://ufdc.ufl.edu/UF00049549,New York,1879,The Swiss family Robinson,32315509,English
http://ufdc.ufl.edu/UF00081659,London++Glasgow++Manchester,1889,The Swiss family Robinson,26971196,English
http://ufdc.ufl.edu/UF00083210,New York,1895,The Swiss family Robinson,229402991,English
http://ufdc.ufl.edu/UF00086462,London++New York,1899,The Swiss family Robinson,18789545,English
http://ufdc.ufl.edu/UF00085415,New York,1896,The Swiss family Robinson,22122834,English
http://ufdc.ufl.edu/UF00024837,New York,1870,The Swiss family Robinson,57389870,English
http://ufdc.ufl.edu/UF00028228,New York++Philadelphia,1874,Swiss family Robinson in words of one syllable,49717589,English
http://ufdc.ufl.edu/UF00053431,New York,1884,The Swiss family Robinson in words of one syllable,64226253,English
http://ufdc.ufl.edu/UF00001866,London,1851,"The Swiss family Robinson, or Adventures in a desert island",45617261,English
http://ufdc.ufl.edu/UF00003604,London,1852,"The Swiss family Robinson, or, Adventures of a father and mother and four sons in a desert island",25030413,English
http://ufdc.ufl.edu/UF00027951,London++Edinburgh++New York,1872,"The Swiss family Robinson, or, Adventures of a shipwrecked famiily on a desolate island",60585657,English
http://ufdc.ufl.edu/UF00027938,London++Edinburgh++New York,1874,"The Swiss family Robinson, or, Adventures of a shipwrecked family on a desolate island",60585587,English
http://ufdc.ufl.edu/UF00027939,Edinburgh,1874,"The Swiss family Robinson, or, The adventures of a father and his four sons on a desert island",32315508,English
http://ufdc.ufl.edu/UF00086694,Boston,1898,"The Swiss family Robinson, or, The adventures of a shipwrecked family on an uninhabited island near New Guinea",21613665,English
http://ufdc.ufl.edu/UF00055797,London++New York,1888,"The Swiss family Robinson, or, The adventures of a shipwrecked family on an uninhabited island near New Guinea",4518304,English
http://ufdc.ufl.edu/UF00073607,Boston,1884,The Life and adventures of Robinson Crusoe,16836239,English
http://ufdc.ufl.edu/UF00053179,London,1883,"Travels into several remote nations of the world by Lemuel Gulliver, first a surgeon and then a captain of several ships, in four parts ...",37255367,English
http://ufdc.ufl.edu/UF00053957,London,1885,"True tales of travel and adventure, valour and virtue",64696250,English
http://ufdc.ufl.edu/UF00053954,New York,1884.5,"The voyage of the ""Vivian"" to the North Pole and beyond",25404212,English
http://ufdc.ufl.edu/UF00053296,London,1884,Walks in and around London,23718508,English
http://ufdc.ufl.edu/UF00077393,London,1914,Willy Pogany children : Robinson Crusoe,63085365,English
http://ufdc.ufl.edu/AA00021431,New-Haven,1809,The wonderful life and adventures of Robinson Crusoe,23227546,English
http://ufdc.ufl.edu/AA00021430,York,1802,The wonderful life and surprising adventures of Robinson Crusoe,13539130,English
http://ufdc.ufl.edu/AA00021432,Philadelphia,1809,Die wunderbare Lebensbeschreibung und Erstaunliche Begebenheiten des berühmten Helden Robinson Crusoe,2415258,German
http://ufdc.ufl.edu/UF00074449,Boston (10 Milk St.),1898,The Young folks' Robinson Crusoe,27081349,English
