libcode,pubcity,pubyear,title,oclc,language
http://ufdc.ufl.edu/UF00074447,Boston,1898,Life and adventures of Robinson Crusoe,3188969,English
http://ufdc.ufl.edu/UF00074452,London++New York (3 East 14th St.)++Felling-on-Tyne,1900,The Life and adventures of Robinson Crusoe,27020827,English
http://ufdc.ufl.edu/UF00096277,Chicago++Chicago (,1896,The life and adventures of Robinson Crusoe,12590559,English
http://ufdc.ufl.edu/UF00074461,London,1910,The Life and adventures of Robinson Crusoe,28315611,English
http://ufdc.ufl.edu/UF00073614,New York,1889,The Life and adventures of Robinson Crusoe,14368836,English
http://ufdc.ufl.edu/UF00026210,London++and New York,1885,The life and adventures of Robinson Crusoe,30060998,English
http://ufdc.ufl.edu/UF00026211,London (1 Leicester Square),1881,The life and adventures of Robinson Crusoe,30304572,English
http://ufdc.ufl.edu/UF00026578,London (5 Paternoster Row),1875,The life and adventures of Robinson Crusoe,30019006,English
http://ufdc.ufl.edu/UF00072781,London,1842,The life and adventures of Robinson Crusoe,13578188,English
http://ufdc.ufl.edu/UF00072773,Halifax,1837,The life and adventures of Robinson Crusoe,27566810,English
http://ufdc.ufl.edu/UF00072777,London (Holborn Hill),1843.5,The life and adventures of Robinson Crusoe,28121063,English
http://ufdc.ufl.edu/UF00072776,London (Holborn Hill),1845,The life and adventures of Robinson Crusoe,27566807,English
http://ufdc.ufl.edu/UF00072775,London,1839,The Life and adventures of Robinson Crusoe ,27783763,English
http://ufdc.ufl.edu/UF00072780,New-York,1845.5,The life and adventures of Robinson Crusoe ,13539225,English
http://ufdc.ufl.edu/UF00072770,New York (No. 56 Gold St.),1838.333333,The Life and adventures of Robinson Crusoe,27606554,English
http://ufdc.ufl.edu/UF00072808,New York (3 Park Row and 3 Ann-Street),1854,The life and adventures of Robinson Crusoe,27941501,English
http://ufdc.ufl.edu/UF00026212,London (I Leiscester Square),1881,The life and adventures of Robinson Crusoe ,30836226,English
http://ufdc.ufl.edu/UF00072790,London (Gracechurch Street),1846,The life and adventures of Robinson Crusoe,27801333,English
http://ufdc.ufl.edu/UF00072794,New York (No. 205 Broadway),1842,The life and adventures of Robinson Crusoe,27081868,English
http://ufdc.ufl.edu/UF00072782,Philadelphia,1843,The Life and adventures of Robinson Crusoe,13547134,English
http://ufdc.ufl.edu/UF00072778,London (Paternaster Row),1840,The life and adventures of Robinson Crusoe,6056670,English
http://ufdc.ufl.edu/UF00072785,Philadelphia (144 Chestnut St.),1845,The life and adventures of Robinson Crusoe,22921362,English
http://ufdc.ufl.edu/UF00072804,Philadelphia (No. 7 Hart's Building Sixth Street above Chestnut),1853,The life and adventures of Robinson Crusoe,27871583,English
http://ufdc.ufl.edu/UF00072815,Philadelphia (No. 610 Chestnut Street),1859,The life and adventures of Robinson Crusoe ,27866802,English
http://ufdc.ufl.edu/UF00072786,Portland Me,1845,The life and adventures of Robinson Crusoe ,27085568,English
http://ufdc.ufl.edu/UF00072793,New Haven,1849,Life and adventures of Robinson Crusoe,946998,English
http://ufdc.ufl.edu/UF00072812,New York (3 Park Row and 3 Ann-Street),1856,The life and adventures of Robinson Crusoe,22869966,English
http://ufdc.ufl.edu/UF00072788,Philadelphia (6 South Fifth Street),1843.5,The life and adventures of Robinson Crusoe ,26897893,English
http://ufdc.ufl.edu/UF00072797,New York,1855,The life and adventures of Robinson Crusoe,27801328,English
http://ufdc.ufl.edu/UF00073558,New York,1866,The Life and adventures of Robinson Crusoe,27943253,English
http://ufdc.ufl.edu/UF00073570,London (Belford Street Covent Garden)++New York,1869,The life and adventures of Robinson Crusoe ,3013425,English
http://ufdc.ufl.edu/UF00073543,London++Edinburgh,1860,The Life and adventures of Robinson Crusoe,27943244,English
http://ufdc.ufl.edu/UF00073553,London (Broadway Ludgate Hill)++New York (56 Walker Street),1864,The life and adventures of Robinson Crusoe ,28229578,English
http://ufdc.ufl.edu/UF00073541,Cincinnati (No. 167 Walnut St.),1865,The life and adventures of Robinson Crusoe ,27081386,English
http://ufdc.ufl.edu/UF00072796,London (86 Aldersgate Street)++Glasgow++Edinburgh,1855,The life and adventures of Robinson Crusoe ,27866804,English
http://ufdc.ufl.edu/UF00073644,Philadelphia,1865,The life and adventures of Robinson Crusoe ,27943261,English
